"spaceid","blockface","metertype","ratetype","raterange","timelimit","latlng"
"SVV434","800 HELIOTROPE DR","Single-Space","JUMP","$1.5/H - $6/6H","6HR","(34.086629, -118.294872)"
"CB3016A","101 4TH ST","Single-Space","TOD","$1.00 - $1.50","2HR","(34.047985, -118.24693)"
"AE449","601 JACKSON ST","Single-Space","JUMP","$1.5/H - $6/10H","10HR","(34.051198, -118.23367)"
"UC131A","3200 CAHUENGA BLVD","Single-Space","FLAT","$1.50","1HR","(34.130047, -118.349348)"
"CB2059","1401 MAPLE AVE","Single-Space","FLAT","$1.00","4HR","(34.033329, -118.258309)"
"WW1235","4100 3RD ST","Single-Space","FLAT","$1.50","1HR","(34.068904, -118.303733)"
"OF25","1000 FAIRFAX AVE","Single-Space","FLAT","$1.50","2HR","(34.056295, -118.3646)"
"WS79","10800 ROCHESTER AVE","Single-Space","FLAT","$1.50","2HR","(34.056205, -118.441902)"
"WW1493","1200 WESTERN AVE","Single-Space","FLAT","$1.50","1HR","(34.048296, -118.308943)"
"MM515","5800 3RD ST","Single-Space","FLAT","$1.50","1HR","(34.06902, -118.346813)"
"LM435","401 LA BREA AVE","Single-Space","FLAT","$1.50","2HR","(34.079358, -118.344169)"
"SVV146","701 VIRGIL AVE","Single-Space","FLAT","$1.50","2HR","(34.085208, -118.286949)"
"CB4274","1001 SAN JULIAN ST","Single-Space","TOD","$0.50 - $1.00","4HR","(34.036483, -118.252725)"
"CB2863","1400 OLIVE ST","Single-Space","TOD","$1.00 - $3.00","4HR","(34.036155, -118.264496)"
"WU2","1001 6TH ST","Single-Space","FLAT","$1.50","4HR","(34.053723, -118.261086)"
"WN272","101 G ST","Single-Space","FLAT","$1.50","2HR","(33.778585, -118.26256)"
"VN1034","14401 HAMLIN ST","Single-Space","FLAT","$1.50","2HR","(34.188748, -118.447353)"
"WH190","21801 VENTURA BLVD","Single-Space","FLAT","$1.50","2HR","(34.168534, -118.602701)"
"VN136","14500 HAYNES ST","Single-Space","FLAT","$1.50","2HR","(34.189635, -118.450602)"
"SVV392","700 HELIOTROPE DR","Single-Space","FLAT","$1.50","4HR","(34.084713, -118.294865)"
"52169","1141 JEFFERSON BLVD","Multi-Space","FLAT","$1.50","4HR","(34.025597, -118.289954)"
"61429","40 WINDWARD AVE","Multi-Space","TOD","$0.50 - $1.50","1HR","(33.987224, -118.472895)"
"SH29","1101 VINE ST","Single-Space","FLAT","$1.50","1HR","(34.092394, -118.326753)"
"56601","10710 SANTA MONICA BLVD","Multi-Space","FLAT","$1.50","2HR","(34.051448, -118.432468)"
"BF46","301 FAIRFAX AVE","Single-Space","FLAT","$1.50","2HR","(34.077715, -118.361546)"
"PB13","5001 PICO BLVD","Single-Space","FLAT","$1.50","2HR","(34.047881, -118.346518)"
"WW178","301 WESTERN AVE","Single-Space","FLAT","$1.50","1HR","(34.077837, -118.309259)"
"HP12","101 AVENUE 55","Single-Space","FLAT","$1.50","2HR","(34.107758, -118.195921)"
"VW157","800 VERMONT AVE","Single-Space","FLAT","$1.50","1HR","(34.057068, -118.291521)"
"R169","7001 RESEDA BLVD","Single-Space","FLAT","$1.50","2HR","(34.198932, -118.536167)"
"WA1461","1301 BURLINGTON AVE","Single-Space","FLAT","$1.50","2HR","(34.045159, -118.279255)"
"LC260","101 CRESCENT HEIGHTS BLVD","Single-Space","FLAT","$1.50","2HR","(34.07567, -118.365922)"
"WF514","600 SAN VICENTE BLVD","Single-Space","JUMP","$1.5/H - $6/10H","10HR","(34.065026, -118.372475)"
"CB1850","200 WINSTON ST","Single-Space","TOD","$2.00 - $5.00","2HR","(34.045557, -118.245457)"
"LH4","201 AVENUE 22","Single-Space","FLAT","$1.50","2HR","(34.073352, -118.217756)"
"R94","7201 RESEDA BLVD","Single-Space","FLAT","$1.50","2HR","(34.201922, -118.536172)"
"CT385","800 NORTH SPRING ST","Single-Space","TOD","$2.00 - $4.00","2HR","(34.062283, -118.236646)"
"SL642","1301 GLENDALE BLVD","Single-Space","FLAT","$1.50","2HR","(34.079543, -118.26038)"
"GA233","3001 LOS FELIZ BLVD","Single-Space","FLAT","$1.50","2HR","(34.12531, -118.265296)"
"52415","620 JEFFERSON BLVD","Multi-Space","FLAT","$1.50","4HR","(34.022595, -118.281766)"
"PR315","9101 PICO BLVD","Single-Space","JUMP","$1.5/H - $6/10H","10HR","(34.055365, -118.391265)"
"CB1221","1001 OLIVE ST","Single-Space","FLAT","$1.00","4HR","(34.041545, -118.260372)"
"TZ513","18600 VENTURA BLVD","Single-Space","FLAT","$1.50","2HR","(34.16994, -118.539173)"
"VN747","6301 SYLMAR AVE","Single-Space","FLAT","$1.50","2HR","(34.185997, -118.4466)"
"CB3577","801 GRAND AVE","Single-Space","TOD","$1.00 - $1.50","4HR","(34.045327, -118.25855)"
"SVV234","1101 VERMONT AVE","Single-Space","FLAT","$1.50","1HR","(34.092874, -118.291865)"
"MV176","3801 GRAND VIEW BLVD","Single-Space","FLAT","$1.50","1HR","(34.004434, -118.430991)"
"56182","10635 SANTA MONICA BLVD","Multi-Space","FLAT","$1.50","2HR","(34.05335, -118.430442)"
"56636","10604 SANTA MONICA BLVD","Multi-Space","FLAT","$1.50","2HR","(34.053504, -118.429541)"
"CB848","1201 SANTEE ST","Single-Space","TOD","$1.00 - $5.00","2HR","(34.035443, -118.258104)"
"WU759","800 BEACON AVE","Single-Space","FLAT","$1.50","2HR","(34.051792, -118.27393)"
"CC1409","100 2ND ST","Single-Space","TOD","$2.00 - $7.00","2HR","(34.051505, -118.245412)"
"SV509","5901 SUNSET BLVD","Single-Space","FLAT","$1.00","2HR","(34.09815, -118.318199)"
"WF601","8401 4TH ST","Single-Space","FLAT","$1.50","2HR","(34.071612, -118.376082)"
"WN289","601 AVALON BLVD","Single-Space","FLAT","$1.50","2HR","(33.777873, -118.262372)"
"LC302","300 HARPER AVE","Single-Space","FLAT","$1.50","2HR","(34.076491, -118.368912)"
"VN642","14301 CALVERT ST","Single-Space","JUMP","$1.5/H - $6/10H","10HR","(34.181721, -118.446289)"
"YO64A","5000 YORK BLVD","Single-Space","FLAT","$1.50","1HR","(34.121326, -118.206525)"
"GA134","3500 LARGA AVE","Single-Space","FLAT","$1.50","2HR","(34.117919, -118.260185)"
"GA154","3401 GLENDALE BLVD","Single-Space","FLAT","$1.50","1HR","(34.12042, -118.258507)"
"CC1399","601 BUNKER HILL AVE","Single-Space","FLAT","$1.00","4HR","(34.061523, -118.244461)"
